iter	Logloss
0	0.6756548501
1	0.6590371357
2	0.6435081828
3	0.6296466111
4	0.6158112346
5	0.6037372647
6	0.5922595966
7	0.58113755
8	0.5717116697
9	0.5626120414
10	0.5539861757
11	0.5465310851
12	0.5390159348
13	0.5318005214
14	0.5255387824
15	0.5194174403
16	0.5135230988
17	0.5088201613
18	0.5038406627
19	0.4989979502
20	0.4949358424
21	0.4910775985
22	0.4869597003
23	0.4832100268
24	0.4798674296
25	0.4766586981
26	0.473798872
27	0.4708495005
28	0.4681722324
29	0.4657349975
30	0.4634524329
31	0.461354438
32	0.4592607806
33	0.4573355611
34	0.4556930394
35	0.4539509889
36	0.452287143
37	0.4509626673
38	0.4496388948
39	0.4482141668
40	0.4469460415
41	0.4458586409
42	0.4446617667
43	0.4436756871
44	0.4425049336
45	0.4415524089
46	0.4405869239
47	0.4397593947
48	0.4388896543
49	0.4381100927
50	0.4372814942
51	0.436485141
52	0.4357751314
53	0.435165778
54	0.4345516387
55	0.4339826854
56	0.4332566185
57	0.4326839376
58	0.4321966187
59	0.4316161255
60	0.4312477448
61	0.4307114118
62	0.4302593677
63	0.4298251334
64	0.4294225325
65	0.4289522125
66	0.4284776813
67	0.4278903161
68	0.4274891187
69	0.4271351561
70	0.4268059409
71	0.4264715491
72	0.4262449411
73	0.4259374932
74	0.4257122818
75	0.4254433589
76	0.4250488466
77	0.4247915324
78	0.4245716457
79	0.4243779793
80	0.4241337645
81	0.4238870995
82	0.4236823234
83	0.4234929202
84	0.4232063175
85	0.4230057953
86	0.4228297032
87	0.4224914816
88	0.4222034986
89	0.4219450909
90	0.4217056568
91	0.4215673582
92	0.4213069837
93	0.4210570891
94	0.4208219497
95	0.4206027704
96	0.4203352572
97	0.4201044293
98	0.419955747
99	0.4197022665
100	0.4195621137
101	0.4193470638
102	0.4191292179
103	0.4189506139
104	0.4187137465
105	0.4184702075
106	0.4183078691
107	0.4181093178
108	0.4179784749
109	0.4178540599
110	0.4177363059
111	0.4175941657
112	0.4174384102
113	0.4172666787
114	0.4171111392
115	0.4169393724
116	0.4167565751
117	0.4166028035
118	0.4163561964
119	0.4162180695
120	0.4160799202
121	0.4158723837
122	0.4157449643
123	0.4155634074
124	0.41545883
125	0.4152562805
126	0.4151078161
127	0.4149522739
128	0.4147672103
129	0.4146449089
130	0.414498492
131	0.4143612506
132	0.4142613133
133	0.4141947548
134	0.413990888
135	0.4138551111
136	0.413752099
137	0.4136341237
138	0.4134558831
139	0.4132261201
140	0.4130855739
141	0.4129764225
142	0.4128270007
143	0.4126953509
144	0.4125636228
145	0.4125026521
146	0.4123188587
147	0.412157758
148	0.412066701
149	0.411953553
150	0.4118484876
151	0.4117143094
152	0.4116159165
153	0.4113995113
154	0.4112568633
155	0.4112042092
156	0.4110810564
157	0.4110074346
158	0.4107175845
159	0.410536267
160	0.4104664928
161	0.4102845836
162	0.4101510623
163	0.4100182356
164	0.4099142682
165	0.4098305948
166	0.4096999926
167	0.4095837739
168	0.4094995772
169	0.4092977348
170	0.4092076657
171	0.4090712878
172	0.4089087289
173	0.4087505879
174	0.4086841844
175	0.4085699391
176	0.4084397222
177	0.4082759968
178	0.4081840805
179	0.4080920936
180	0.4078594805
181	0.40776838
182	0.4075873304
183	0.4075009631
184	0.4073483189
185	0.4072910225
186	0.4072136958
187	0.4071285674
188	0.4070287935
189	0.4068856325
190	0.4067831775
191	0.4066812194
192	0.406555831
193	0.4064405455
194	0.4063010082
195	0.4062331369
196	0.4061230866
197	0.4060280242
198	0.4058837776
199	0.4057729549
200	0.4056408187
201	0.4055327229
202	0.4054451307
203	0.405362194
204	0.4052305175
205	0.4051709324
206	0.4050980827
207	0.4050385828
208	0.4048645955
209	0.4046996822
210	0.4045187547
211	0.4043141267
212	0.4042090916
213	0.404130968
214	0.4040411302
215	0.4039800636
216	0.4038329218
217	0.4037352315
218	0.4035726724
219	0.4034256787
220	0.4033209029
221	0.4032262232
222	0.4031394888
223	0.4029520826
224	0.4027299084
225	0.4026913746
226	0.4025426204
227	0.4024135916
228	0.4022835214
229	0.4020836528
230	0.4019562174
231	0.4019056224
232	0.4018108825
233	0.4017087481
234	0.4015413023
235	0.4014738156
236	0.4013248474
237	0.4012518257
238	0.4011124232
