Data/Hora;Cotacao;Minima;Maxima;Variacao;Variacao (%);Volume;;;
09/10/2019;101.248,78;100.005,44;101.566,59;1.267,38;1,27;3.939.046;;;
08/10/2019;99.981,40;99.867,59;101.296,28;-591,37;-0,59;4.342.685;;;
07/10/2019;100.572,77;100.541,89;102.546,02;-1.978,55;-1,93;3.938.270;;;
04/10/2019;102.551,32;101.057,36;102.579,55;1.035,28;1,02;4.649.382;;;
03/10/2019;101.516,04;99.826,30;101.560,23;484,6;0,48;4.665.570;;;
02/10/2019;101.031,44;100.943,82;104.049,12;-3.021,96;-2,9;5.066.169;;;
01/10/2019;104.053,40;103.837,47;105.121,16;-691,92;-0,66;4.095.724;;;
30/09/2019;104.745,32;104.638,18;105.177,50;-332,31;-0,32;3.895.760;;;
27/09/2019;105.077,63;104.505,69;105.632,94;-241,77;-0,23;3.471.150;;;
26/09/2019;105.319,40;104.337,39;105.342,30;838,42;0,8;4.138.652;;;
25/09/2019;104.480,98;103.033,84;104.480,98;605,32;0,58;4.117.468;;;
24/09/2019;103.875,66;103.503,53;104.892,90;-762,16;-0,73;3.972.170;;;
23/09/2019;104.637,82;104.019,50;104.817,39;-179,58;-0,17;6.769.095;;;
20/09/2019;104.817,40;103.913,50;105.044,50;478,24;0,46;6.769.095;;;
19/09/2019;104.339,16;104.285,83;106.001,35;-192,77;-0,18;4.915.758;;;
18/09/2019;104.531,93;103.684,12;104.761,84;-84,93;-0,08;3.882.121;;;
17/09/2019;104.616,86;103.078,89;104.618,93;936,45;0,9;4.574.939;;;
16/09/2019;103.680,41;102.782,33;104.004,61;179,23;0,17;6.038.650;;;
13/09/2019;103.501,18;103.274,91;104.699,20;-869,73;-0,83;4.039.449;;;
12/09/2019;104.370,91;103.452,52;104.618,01;925,31;0,89;4.962.451;;;
11/09/2019;103.445,60;103.035,89;104.155,86;414,1;0,4;4.876.961;;;
10/09/2019;103.031,50;102.230,73;103.503,45;-149,09;-0,14;5.478.902;;;
09/09/2019;103.180,59;102.792,78;104.259,77;245,16;0,24;5.516.784;;;
06/09/2019;102.935,43;102.245,98;103.181,64;692,43;0,68;3.976.039;;;
05/09/2019;102.243,00;101.203,84;103.258,48;1.042,11;1,03;4.814.283;;;
04/09/2019;101.200,89;99.705,69;101.200,89;1.520,06;1,52;4.310.700;;;
03/09/2019;99.680,83;99.406,15;101.416,66;-944,91;-0,94;4.328.020;;;
02/09/2019;100.625,74;100.625,74;101.611,02;-508,87;-0,5;2.685.405;;;
30/08/2019;101.134,61;100.526,27;101.551,35;610,18;0,61;6.109.568;;;
29/08/2019;100.524,43;98.194,11;100.683,87;2.330,90;2,37;5.163.256;;;
28/08/2019;98.193,53;96.557,06;98.346,03;917,34;0,94;4.350.809;;;
27/08/2019;97.276,19;95.855,30;97.950,98;846,59;0,88;6.581.682;;;
26/08/2019;96.429,60;95.960,74;98.435,96;-1.237,89;-1,27;4.136.804;;;
23/08/2019;97.667,49;97.085,21;100.024,83;-2.343,79;-2,34;5.668.819;;;
22/08/2019;100.011,28;100.011,28;101.469,05;-1.190,62;-1,18;4.495.491;;;
21/08/2019;101.201,90;99.221,27;101.240,13;1.979,65;2;5.969.713;;;
20/08/2019;99.222,25;98.002,03;99.664,75;-246,42;-0,25;5.235.237;;;
19/08/2019;99.468,67;98.908,19;100.947,60;-337,11;-0,34;4.924.020;;;
16/08/2019;99.805,78;99.059,12;100.566,93;748,87;0,76;5.483.382;;;
15/08/2019;99.056,91;98.200,36;101.014,41;-1.201,10;-1,2;6.585.275;;;
14/08/2019;100.258,01;99.954,75;103.270,08;-3.041,46;-2,94;6.485.188;;;
13/08/2019;103.299,47;101.414,44;103.778,22;1.384,25;1,36;5.198.860;;;
12/08/2019;101.915,22;101.621,22;103.945,84;-2.080,94;-2;4.509.706;;;
09/08/2019;103.996,16;103.546,67;104.848,18;-119,07;-0,11;4.689.991;;;
08/08/2019;104.115,23;102.782,37;104.281,89;1.332,86;1,3;5.709.640;;;
07/08/2019;102.782,37;100.476,12;102.784,21;618,68;0,61;5.742.910;;;
06/08/2019;102.163,69;100.097,51;102.178,08;2.065,94;2,06;5.231.818;;;
05/08/2019;100.097,75;99.630,09;102.657,77;-2.575,93;-2,51;5.155.033;;;
02/08/2019;102.673,68;101.667,02;103.179,66;547,74;0,54;5.075.845;;;
01/08/2019;102.125,94;101.818,93;104.055,69;313,81;0,31;7.349.616;;;
31/07/2019;101.812,13;100.950,36;103.128,70;-1.120,63;-1,09;5.229.809;;;
30/07/2019;102.932,76;102.596,13;103.554,99;-549,87;-0,53;4.186.132;;;
29/07/2019;103.482,63;102.460,82;103.482,63;663,7;0,65;3.670.048;;;
26/07/2019;102.818,93;102.196,31;103.209,05;164,35;0,16;5.300.373;;;
